地方政府回应数(Y),微博投诉@数(X),@回应比例,地方政府回应的投诉发帖数,投诉发帖数,投诉回应比例,污染所在地区(S),人均国内生产总值(PGDP),企业特征(Enterprise),政府部门,政府部门级别,行政区划,企业名称,法人编号,污染所在地,行政编号,总转发量(Forward_all),总评论量(Comment_all),总点赞量(Praise_all),平均转发量(Forward),平均评论量(Comment),平均点赞量(Praise),中央/上级政府关注(Position),森林覆盖率(Forest),工业发电量(Industry),年份(year),平均回应时间/秒(Diff)
3,9,0.3333,3.0,3.0,1.0,1,,,山东环境,省,山东省,华能临沂发电,168271787,山东省,371311,2,96,0,0.6667,32.0,0.0,0.0,16.73,5329.27,2014,1224863.0
0,2,0.0,0.0,1.0,0.0,1,,,镇江环保局,市,镇江市,句容台泥水泥,60893071600,江苏省,321183,4,2,0,4.0,2.0,0.0,0.0,15.8,4709.37,2014,0
0,1,0.0,0.0,1.0,0.0,0,,,重庆环保,省,重庆省重庆市,沱口污水处理厂,6053084702,重庆市,500101,1,2,0,1.0,2.0,0.0,0.0,38.43,701.19,2014,0
0,1,0.0,0.0,1.0,0.0,1,,,济南环保,市,济南市,济南庚辰钢铁,725411165,山东省,370112,1,0,0,1.0,0.0,0.0,0.0,16.73,5329.27,2014,0
1,1,1.0,1.0,1.0,1.0,1,,,山东环境,省,山东省,山东球墨铸铁管,614072500,山东省,370112,0,1,0,0.0,1.0,0.0,0.0,16.73,5329.27,2014,409.0
0,2,0.0,0.0,2.0,0.0,1,,,徐州环保,市,徐州市,徐州华裕煤气,683525796,江苏省,320312,1,4,1,0.5,2.0,0.5,0.0,15.8,4709.37,2014,0
0,1,0.0,0.0,1.0,0.0,1,,,山东环境,省,山东省,阳煤集团淄博齐鲁第一化肥,756382010,山东省,370305,16,6,2,16.0,6.0,2.0,0.0,16.73,5329.27,2014,0
0,1,0.0,0.0,1.0,0.0,0,,,哈尔滨环保,市,哈尔滨市,哈尔滨群力污水处理厂,68027600X,黑龙江省,230102,8,4,0,8.0,4.0,0.0,0.0,43.16,900.41,2014,0
0,2,0.0,0.0,1.0,0.0,1,,,山东环境,省,山东省,山东九羊集团,792465817,山东省,371202,10,2,0,10.0,2.0,0.0,0.0,16.73,5329.27,2014,0
0,1,0.0,0.0,1.0,0.0,1,,,江苏环保,省,江苏省,江阴兴澄特种钢铁,607984202,江苏省,320281,0,1,0,0.0,1.0,0.0,0.0,15.8,4709.37,2014,0
1,11,0.0909,1.0,1.0,1.0,1,,,临沂环境,市,临沂市,华能济宁高新区热电,742445631,山东省,370000,2,50,0,2.0,50.0,0.0,0.0,16.73,5329.27,2014,3142253.0
0,1,0.0,0.0,1.0,0.0,0,,,陕西环保,省,陕西省,铜川市污水处理厂,776981790,陕西省,610202,27,4,1,27.0,4.0,1.0,0.0,41.42,1757.41,2014,0
0,1,0.0,0.0,1.0,0.0,0,,,永宁环保,县,银川市永宁县,宁夏危险废物和医疗废物处置中心,554194679,宁夏回族自治区,640100,1,0,1,1.0,0.0,1.0,0.0,11.89,1144.38,2014,0
0,3,0.0,0.0,1.0,0.0,1,,,山东环境,省,山东省,文登热电厂,727542070,山东省,370000,0,1,0,0.0,1.0,0.0,0.0,16.73,5329.27,2014,0
0,2,0.0,0.0,2.0,0.0,1,,,浙江环保,省,浙江省,浙江红狮水泥股份,739918063,浙江省,330781,28,12,2,14.0,6.0,1.0,0.0,59.07,3197.66,2014,0
0,3,0.0,0.0,2.0,0.0,1,,,山东环境,省,山东省,国电菏泽发电厂,168852194,山东省,370000,8,4,1,4.0,2.0,0.5,0.0,16.73,5329.27,2014,0
0,1,0.0,0.0,1.0,0.0,1,,,江苏环保,省,江苏省,中国国电集团公司谏壁发电厂,834754351,江苏省,321102,1,1,0,1.0,1.0,0.0,0.0,15.8,4709.37,2014,0
0,2,0.0,0.0,1.0,0.0,0,,,绿水青山总关情,省,湖南省,湘潭市河东污水处理厂,794716552,湖南省,430304,7,3,0,7.0,3.0,0.0,0.0,47.77,1385.09,2014,0
0,4,0.0,0.0,3.0,0.0,1,,,江苏环保,省,江苏省,江苏国信扬州发电,682192061,江苏省,321003,3,1,0,1.0,0.3333,0.0,0.0,15.8,4709.37,2014,0
0,2,0.0,0.0,1.0,0.0,1,,,山东环境,省,山东省,山东齐星长山热电,745665445,山东省,371626,1,3,0,1.0,3.0,0.0,0.0,16.73,5329.27,2014,0
0,1,0.0,0.0,1.0,0.0,1,,,佛山环保,市,佛山市,南海发电一厂,617645589,广东省,440605,1,0,1,1.0,0.0,1.0,0.0,51.26,4263.66,2014,0
0,2,0.0,0.0,1.0,0.0,1,,,山东环境,省,山东省,济南达利食品,777405904,山东省,370125,63,28,0,63.0,28.0,0.0,0.0,16.73,5329.27,2014,0
0,1,0.0,0.0,1.0,0.0,0,,,江西环保,省,江西省,江西洪城水业,550854801,江西省,360824,1,1,0,1.0,1.0,0.0,0.0,60.01,1085.35,2014,0
0,2,0.0,0.0,1.0,0.0,1,,,山东环境,省,山东省,山东联盟化工股份,165681617,山东省,370783,50,8,2,50.0,8.0,2.0,0.0,16.73,5329.27,2014,0
0,1,0.0,0.0,1.0,0.0,0,,,株洲市环境保护局,市,湖南省株洲市,中盐湖南株洲化工集团,184299552,湖南省,430204,2,0,2,2.0,0.0,2.0,0.0,47.77,1385.09,2014,0
0,3,0.0,0.0,1.0,0.0,1,,,浙江环保,省,浙江省,浙江温州特鲁莱发电,70432083800,浙江省,330382,1,2,0,1.0,2.0,0.0,0.0,59.07,3197.66,2014,0
0,1,0.0,0.0,1.0,0.0,1,,,姜堰环保,县,泰州市,姜堰市化肥,704009513,江苏省,321284,4,5,0,4.0,5.0,0.0,0.0,15.8,4709.37,2014,0
0,1,0.0,0.0,1.0,0.0,1,,,广州环保,市,广州市,广州发电厂,190663314,广东省,440103,0,0,2,0.0,0.0,2.0,0.0,51.26,4263.66,2014,0
0,3,0.0,0.0,1.0,0.0,1,,,山东环境,省,山东省,茌平齐鲁供热,732603456,山东省,371523,1,1,0,1.0,1.0,0.0,0.0,16.73,5329.27,2014,0
0,3,0.0,0.0,2.0,0.0,1,,,江苏环保,省,江苏省,句容台泥水泥,60893071600,江苏省,321183,5,2,0,2.5,1.0,0.0,0.0,15.8,4709.37,2014,0
0,1,0.0,0.0,1.0,0.0,0,,,江西环保,省,江西省,江西永方电源,677975336,江西省,360000,163,72,0,163.0,72.0,0.0,0.0,60.01,1085.35,2014,0
0,2,0.0,0.0,1.0,0.0,0,,,绿水青山总关情,省,湖南省,华菱湘潭钢铁,770052915,湖南省,430304,21,2,0,21.0,2.0,0.0,0.0,47.77,1385.09,2014,0
1,3,0.3333,1.0,1.0,1.0,1,,,日照环境,市,日照市,华能临沂发电,168271787,山东省,371311,0,50,0,0.0,50.0,0.0,0.0,16.73,5329.27,2014,3551539.0
1,5,0.2,1.0,2.0,0.5,1,,,山东环境,省,山东省,济南裕兴化工,734707945,山东省,370105,2,3,0,1.0,1.5,0.0,0.0,16.73,5329.27,2014,840.0
0,7,0.0,0.0,3.0,0.0,0,,,昆明市环保局,市,云南省昆明市,云南铝业股份,21658149X,云南省,530121,10,8,2,3.3333,2.6667,0.6667,0.0,50.03,2692.54,2014,0
22,56,0.3929,21.0,21.0,1.0,1,,,淮安环保,市,江苏省淮安市,江苏瑞洪盐业,788866546,江苏省,320829,242,103,22,11.5238,4.9048,1.0476,0.8571,15.8,4709.37,2014,724182.0952
0,23,0.0,0.0,9.0,0.0,0,,,九江环保发布,市,九江市,江西九江南方水泥,754224465,江西省,360430,3,14,0,0.3333,1.5556,0.0,0.0,60.01,1085.35,2014,0
0,3,0.0,0.0,2.0,0.0,1,,,淄博环保,市,淄博市,淄博周北热电,761879283,山东省,370306,1,1,0,0.5,0.5,0.0,0.0,16.73,5329.27,2014,0
0,2,0.0,0.0,1.0,0.0,0,,,陕西环保沙龙,省,陕西省,陕西延长石油（集团）,223505698,陕西省,610629,2,3,0,2.0,3.0,0.0,0.0,41.42,1757.41,2014,0
0,1,0.0,0.0,1.0,0.0,0,,,绿色郑州,市,郑州市,安阳县博盛钢铁公司,747435969,河南省,410522,29,3,1,29.0,3.0,1.0,0.0,21.5,2652.66,2014,0
3,17,0.1765,2.0,9.0,0.2222,1,,,温州环保,市,浙江省温州市,浙江浙能温州发电,84504177900,浙江省,330382,5,8,0,0.5556,0.8889,0.0,0.0,59.07,3197.66,2014,2524550.0
0,2,0.0,0.0,1.0,0.0,1,,,绍兴-环保,市,浙江省绍兴市,浙江天马热电,753014917,浙江省,330000,2,1,0,2.0,1.0,0.0,0.0,59.07,3197.66,2014,0
0,6,0.0,0.0,4.0,0.0,1,,,江西环保,省,江西省,常山南方水泥,75304140500,浙江省,330822,2,2,0,0.5,0.5,0.0,0.0,59.07,3197.66,2014,0
0,4,0.0,0.0,3.0,0.0,0,,,江西环保,省,江西省,萍乡萍钢钢铁,589212769,江西省,360313,8,2,0,2.6667,0.6667,0.0,0.0,60.01,1085.35,2014,0
